PIM | Brand,UPC Code,English Description,COST
Ghalior Paris,121019357,"<p><strong>Highlights:</strong></p><ul><li>A comfortable, lightweight liquid lipstick that delivers smoothing and long-lasting wear on the lips.</li><li>Excellent spread ability enriched with emollients made from renewable sources such as sugar and coconut.</li></ul><p><strong><br></strong></p>",57.7
Ghalior Paris,121019358,<p><strong>Highlights:<br></strong></p><ul><li>High coverage</li><li>Long lasting wear</li><li>Matte finish</li><li>Enriched with vitamins C and E.</li><li>Velvety look and feel</li><li>For all skin types</li><li>Available in 4 shades</li></ul>,46.9
Ghalior Paris,121019359,"<p><strong>Highlights:<br></strong></p><ul><li>Long lasting wear Matte finish Enriched with 
vitamins C and E.</li><li>Velvety look and feel.</li><li>For all skin types.</li><li>Available in 4 
shades</li></ul>",46.9
Ghalior Paris,121019360,"<p><strong>Highlights:<br></strong></p><ul><li>High coverage.</li><li>Long lasting wear Matte finish Enriched with 
vitamins C and E.</li><li>Velvety look and feel.</li><li>For all skin types.</li><li>Available in 4
 shades</li></ul>",46.9
Ghalior Paris,121019361,<p><strong>Highlights:<br></strong></p><ul><li>High coverage</li><li>Long lasting wear</li><li>Matte finish</li><li>Enriched with vitamins C and E.</li><li>Velvety look and feel</li><li>For all skin types</li><li>Available in 4 shades</li></ul>,46.9
Ghalior Paris,121019376,,67.8
Ghalior Paris,121019377,<p><strong>Highlights:<br></strong></p><ul><li>High coverage</li><li>Long lasting wear.</li><li>12H tested</li><li>Finish matte</li><li>Enriched with vitamins C and E.</li><li>Velvety look</li><li>UV filter</li><li>For all skin types</li><li>Available in 4 shades</li></ul>,67.8
Ghalior Paris,121019378,,67.8
Ghalior Paris,121019379,"<p><strong>Highlights:</strong></p><li>It\'s a medium to full coverage foundation with a buildable formula  </li><li> It provides 24 hours of hydration, making it a great foundation for dry skin and combination skin</li><li>It instantly brightens and evens out the skin tone, and conceals 
imperfections, for healthy skin and a natural looking complexion </li>",67.8
Ghalior Paris,121019395,,58.0
Ghalior Paris,121019397,<p><strong>Highlights:</strong></p><ul><li>12-hour lasting</li><li>Well separated lashes</li><li>Easy make-up removal</li><li>A brush suitable for the formula</li><li>Take care of lashes</li></ul>,57.0
Ghalior Paris,121019403,,46.0
Ghalior Paris,121019404,"<p><strong>Highlights:<br></strong></p><ul><li>Smooth skin</li><li>Reduced pores</li><li>Unified complexion</li><li>Soft, velvety texture</li><li>Matte effect all day</li><li>Improves the hold of the foundation during the day.</li><li>For all skin types</li></ul>",62.6
Colgate,121019408,<p><strong>Highlights:</strong></p><ul><li>Blocks & Repairs</li><li>Prevents sensitivity coming back</li><li>Helps to strengthen gums and prevent gum recession.</li></ul>,40.0
Cantu,121019417,"<p><strong>Highlights:</strong></p><p>Hydrates & quenches thirsty strands<br>Adds moisture & manageability<br>Infused with shea butter, coconut oil & honey</p>",48.3
Titania,121019436,,12.0
La Roche Posay,121019462,<p><strong>Highlights:</strong></p><ul>  <li>All skin types  </li>  <li> Skin Friendly ingredients  </li>  <li> 100 percent genuine item</li></ul>,148.7
CeraVe,121019474,,92.0
Titania,121019511,,20.0
Oral B,121019558,,273.0
Ducray,121019588,<p><strong>Highlights:</strong></p><ul>  <li>Shampoo is a salon-quality formula with a blend of natural ingredients  </li>  <li> This shampoo gently cleanses whilst smoothing and nourishing hair  </li>  <li> Ensures excellent hair treatment and leaves hair feeling moisturised and beautifully soft&nbsp;</li></ul>,93.0
