PIM | Brand,UPC Code,Arabic Description,English Description,TAX  ,COST,GTIN (Internal ID),Category,Sub Category,Sub Sub Category,Image 1 URL,Image 2 URL,Image 3 URL
Al Khuzama,6286005000212,الخزامى الليفه المغربيه نعومه متوسطه لون ازرق,Al Khuzama Moroccan Luffa Medium Softness Blue Colour,TAX 15%,1.5,,Body Care,Bath & Body,Moroccan Luffa,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMyNzgxNTQ2NDAsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:c327cc6b6e856dfc6f36a2c0fc8d887f1755a271601362557bf01e6eccedef2d/jE06Euy6TWmXZvqCkJeJ","- https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMyNzgxNTQ3MjQsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:78d1e3606c7e60f10fd96e2bc28068720d93bd801434b930c1014bad6293f301/sdGps69DQdCmA8BDbtwr
- https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMyNzgxNTQ3MjQsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:78d1e3606c7e60f10fd96e2bc28068720d93bd801434b930c1014bad6293f301/JoDayFw1QImxgXQZ6C6l",
alarays,6287011270484,العرايس قطن شرائح دائري 180 قطعة متعدد الاستخدام,Alarays Rounded Cotton Pads 180pc Multi Use,TAX 15%,12.09,,Skin Care,Makeup Removers,Rounded Cotton Pads,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMxNzEwMzE3MjIsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:2d001c5bf5568326269d6a853ce80b771d673a3ec7c6aec3380dc2c82ee8c284/Drd1zIdkRfmHHgTh351Z",,
Albalad Dreams,6988882428829,احلام البلد صحن صبغه شعر H24-288-2,Albalad Dreams Hair dye Bowl H24-288-2,TAX 15%,12.72,,Hair Care,Hair Colors,Hair dye Bowl,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NjA0MzgzNzE5NDQsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:9f741c3b0134e3952efe4e9a705d4e24ddadffd59df9a309bbdcea0f589444f2/nqKzMPWpSmKRElesz0Et",,
Alpha Plus,6285095006579,الفا بلس كريم لتبييض الوجه 30 جرام يعطي إشراقًا للبشره ويساعد على توحيد لونها,Alpha Plus Face Cream Whitening 30g Brightens The Skin And Helps Even Out Its Tone,TAX 15%,28.5,,Skin Care,Face Care,Face Cream Whitening,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NjQyMzU0MjY4OTYsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:1669623238b9208b51efbe3696e09d63d922bc8726a10841d50cc53462ef3f78/6Ub7if0ScavHv99Budi6","- https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NjQyMzU0MjcwNTUsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:d60944d60d80e668a86d4f1c9b190c34967cb5c5b095caa8360d39a1fcd9c95a/I4DCezJ7S5a61K1mmZol
- https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NjQyMzU0MjcwNTUsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:d60944d60d80e668a86d4f1c9b190c34967cb5c5b095caa8360d39a1fcd9c95a/LM4PwUFGT2GWHyWMGSp3",
Amara,2200000040398,امارا عدسات ملونه شهريه تشاركل جراي,Amara Colored Lens Charcoal Gray Monthly,TAX 0%,78,,Makeup,Lenses,Colored Lens,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5MjQ5ODI5ODYsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:25d2ca9d0f2af2b61acfdbf144d4a2f4fc7493a855c391b7eea82bfd86556ad4/TA4ndb3CT5CKZFJVk2xI",,
Amara,720595400961,امارا عدسات ملونه شهريه كيوتي,Amara Colored Lens Cutie Monthly,TAX 0%,78,,Makeup,Lenses,Colored Lens,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwMDYzMTI0OTksImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:d3f560c779c543b1f9b9898f44c3234a6d10ccd1e943a68f0eeb10b468fd4f46/aJ4EtwGUQ4GQYvpKk6Ua",,
Amara,2200000040480,امارا عدسات ملونه شهريه صانسيت,Amara Colored Lens Sunset Monthly,TAX 0%,78,,Makeup,Lenses,Colored Lens,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5MjQ5ODMxNzgsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:9e44cc93d275fbe900fd3e67835bb43eb364bc9e2103c4b0263bf452da3fb104/S7COacuDQAlnTD4149Hw",,
Amara,720595400527,امارا عدسات ملونه شهريه عيون المها,Amara Colored Lens Al Maha Monthly,TAX 0%,78,,Makeup,Lenses,Colored Lens,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwMDYzMTI1MTYsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:baaeca5508b6d87e8dc971eb815e90011f9a4c9c47ae2d1c9f02837711e25fed/Ng5QnqAIR1CYED8d1N6M",,
Amara,2200000040350,امارا عدسات ملونه شهريه تان,Amara Colored Lens Tan Monthly,TAX 0%,78,,Makeup,Lenses,Colored Lens,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5MjQ5ODMxODUsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:fd3aa65251ea4397eb2b145668fdc86a816f07bc7c88f88266c8f46cab7c47dd/cDDbipnWQhmL0OQcEuPl",,
Amara,720595401760,امارا عدسات ملونه شهريه اليجينت,Amara Colored Lens Elegant Monthly,TAX 0%,78,,Makeup,Lenses,Colored Lens,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5OTI2NzQzMjksImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:628ffb85bba459705da6068463edd010349dab4dc2fe80e920ed720086b132b4/R1UuiyXQEGCwBHSyd4yg",,
